Winner,Count
Tommy Robredo,19
Tommy Haas,14
Tomas Berdych,29
Stanislas Wawrinka,22
Sebastien Grosjean,13
Roger Federer,63
Richard Gasquet,18
Rafael Nadal,41
Radek Stepanek,11
Philipp Kohlschreiber,17
Novak Djokovic,43
Nikolay Davydenko,22
Nicolas Almagro,15
Milos Raonic,10
Mikhail Youzhny,11
Mario Ancic,11
Marin Cilic,17
Mardy Fish,11
Marcos Baghdatis,22
Marat Safin,18
Lleyton Hewitt,21
Kei Nishikori,12
Jurgen Melzer,13
Juan Martin Del Potro,17
Juan Ignacio Chela,10
Juan Carlos Ferrero,13
Jo-Wilfried Tsonga,27
Jarkko Nieminen,13
Janko Tipsarevic,12
James Blake,17
Ivan Ljubicic,11
Gilles Simon,14
Gael Monfils,16
Florian Mayer,12
Fernando Verdasco,18
Fernando Gonzalez,16
Feliciano Lopez,15
Fabrice Santoro,10
Dominik Hrbaty,12
David Nalbandian,21
David Ferrer,32
Andy Roddick,32
Andy Murray,33